00A695A8	Michael	迈克尔
00A695B0	Franklin	富兰克林
00A695BC	Trevor	崔佛
00A695C8	MP Female	线上女主角
00A695D8	MP Male	线上男主角
00A6963C	Boar	猪
00A69644	Cat	猫
00A69648	Chimp	猩1
00A69650	Chimp 2	猩2
00A69658	Chop	狗1
00A69660	Cormorant	鸬鹚
00A6966C	Cow	牛
00A69670	Coyote	郊狼
00A69678	Crow	乌y
00A69680	Deer	鹿
00A69688	Dolphin	海豚
00A69690	Fish	鱼
00A69698	German Shepherd	牧羊犬
00A696A8	Grey Whale	灰鲸
00A696B8	Hammerhead Shark	双髻鲨
00A696CC	Hawk	鹰
00A696D4	Hen	鸡
00A696D8	Humpback	z头鲸
00A696E4	Husky	狗2
00A696F0	Killer Whale	虎鲸
00A69700	Mountain Lion	美洲狮
00A69710	Panther	黑豹
00A69718	Pig	猪
00A6971C	Pigeon	鸽子
00A69724	Poodle	贵犬
00A6972C	Pug	宠
00A69730	Rabbit	兔子
00A69738	Rabbit 2	兔子2
00A69744	Rat	鼠
00A69748	Retriever	猎犬
00A69754	Rhesus	猕猴
00A69760	Rottweiler	罗威纳
00A69770	Seagull	海鸥
00A69778	Stingray	黄鱼
00A69788	Tiger Shark	虎鲨
00A69794	Westy	狗3
00A699B8	Abigail Mathers	盖尔马瑟斯
00A699C8	Abner	阿bu
00A699D0	African American Male	非州裔美国男性
00A699E8	Agent	特G
00A699F0	Air Hostess	空姐
00A69A00	Air Worker Male	男机场员工
00A69A10	Al Di Napoli Male	阿尔迪(男性)
00A69A24	Alien	w星r
00A69A30	Altruist Cult Mid-Age Male	利他邪教中年男性
00A69A50	Altruist Cult Old Male	邪教老年男性
00A69A68	Altruist Cult Old Male 2	利他邪教老年男性
00A69A88	Altruist Cult Young Male	利他邪教年轻男性
00A69AA8	Altruist Cult Young Male 2	利他邪教年轻男性 2
00A69AC8	Amanda De Santa	阿曼达桑塔
00A69AD8	Ammu-Nation City Clerk	军火城市职员
00A69AF0	Ammu-Nation Rural Clerk	军火乡村职员
00A69B08	Andreas Sanchez	安德烈亚斯
00A69B18	Anita Mendoza	安妮塔
00A69B28	Anton Beaudelaire	安东德莱尔
00A69B40	Armenian Boss	亚美老大
00A69B50	Armenian Goon	亚美打手
00A69B60	Armenian Goon 2	亚美打手 2
00A69B70	Armenian Lieutenant	亚美尼亚中尉
00A69B88	Armoured Van Security	装甲运钞车保安
00A69BA0	Armoured Van Security 2	装甲运钞车保安 2
00A69BB8	Army Mechanic	军机械师
00A69BC8	Ashley Butler	阿什莉
00A69BD8	Autopsy Tech	尸检技工
00A69BE8	Autoshop Worker	汽车修理工
00A69BF8	Autoshop Worker 2	汽车修理工 2
00A69C10	Autoshop Worker 3	汽车修理工 3
00A69C24	Azteca	帮派
00A69C2C	Baby D	小宝
00A69C38	Ballas East Male	巴勒斯帮男
00A69C50	Ballas Female	巴勒帮女
00A69C60	Ballas OG	巴勒帮
00A69C70	Ballas Original Male	巴勒帮元老男
00A69C88	Ballas South Male	巴勒南区男
00A69CA0	Bank Manager	银行经理
00A69CB0	Barber Female	女理发师
00A69CC0	Barman	巴曼
00A69CC8	Barry	巴li
00A69CD0	Bartender	调酒师
00A69CE0	Bartender (Rural)	调酒师乡村
00A69CF8	Baywatch Female	海滩救生女
00A69D08	Baywatch Male	海滩救男
00A69D18	Beach Female	海滩女性
00A69D28	Beach Male	海滩男
00A69D38	Beach Male 2	海滩男
00A69D48	Beach Muscle Male	海滩健身男
00A69D60	Beach Muscle Male 2	海滩健身男性2
00A69D78	Beach Old Male	海滩老头
00A69D88	Beach Tramp Female	海滩流浪女性
00A69DA0	Beach Tramp Male	海滩流浪男
00A69DB8	Beach Young Female	海滩年轻女性
00A69DD0	Beach Young Male	海滩年轻男
00A69DE8	Beach Young Male 2	海滩年轻男 2
00A69E00	Beach Young Male 3	海滩年轻男 3
00A69E18	Best Man	伴郎
00A69E28	Beverly Felton	贝弗利·费
00A69E38	Beverly Hills Female	比佛利山庄女
00A69E50	Beverly Hills Female 2	比佛利山庄女性2
00A69E68	Beverly Hills Male	比佛利山庄男
00A69E80	Beverly Hills Male 2	比佛利山庄男 2
00A69E98	Beverly Hills Young Female	比佛利山庄年轻女
00A69EB8	Beverly Hills Young Female 2	比佛利山庄年轻女性2
00A69ED8	Beverly Hills Young Female 3	比佛利山庄年轻女性3
